DwellingTypes,GrantName,GrantValue,EstimatedImprovementCost
Detached house,Central Heating System for Heat Pump,2000,2000
Apartment,Heating Controls,700,2000
Basement Dwelling,Heating Controls,700,2000
Ground-floor apartment,Heating Controls,700,2000
Maisonette,Heating Controls,700,2000
Mid-floor apartment,Heating Controls,700,2000
Top-floor apartment,Heating Controls,700,2000
Mid-terrace house,Heating Controls,700,2000
Semi-detached house,Heating Controls,700,2000
End of terrace house,Heating Controls,700,2000
House,Heating Controls,700,2000
Detached house,Heating Controls,700,2000
Apartment,Heat Pump Bonus,2000,
Basement Dwelling,Heat Pump Bonus,2000,
Ground-floor apartment,Heat Pump Bonus,2000,
Maisonette,Heat Pump Bonus,2000,
Mid-floor apartment,Heat Pump Bonus,2000,
Top-floor apartment,Heat Pump Bonus,2000,
Mid-terrace house,Heat Pump Bonus,2000,
Semi-detached house,Heat Pump Bonus,2000,
End of terrace house,Heat Pump Bonus,2000,
House,Heat Pump Bonus,2000,
Detached house,Heat Pump Bonus,2000,
Apartment,Mechanical Ventilation,1500,2000
Basement Dwelling,Mechanical Ventilation,1500,2000
Ground-floor apartment,Mechanical Ventilation,1500,2000
Maisonette,Mechanical Ventilation,1500,2000
Mid-floor apartment,Mechanical Ventilation,1500,2000
Top-floor apartment,Mechanical Ventilation,1500,2000
Mid-terrace house,Mechanical Ventilation,1500,2000
Semi-detached house,Mechanical Ventilation,1500,2000
End of terrace house,Mechanical Ventilation,1500,2000
House,Mechanical Ventilation,1500,2000
Detached house,Mechanical Ventilation,1500,2000
Apartment,Air Tightness,1000,2000
Basement Dwelling,Air Tightness,1000,2000
Ground-floor apartment,Air Tightness,1000,2000
Maisonette,Air Tightness,1000,2000
Mid-floor apartment,Air Tightness,1000,2000
Top-floor apartment,Air Tightness,1000,2000
Mid-terrace house,Air Tightness,1000,2000
Semi-detached house,Air Tightness,1000,2000
End of terrace house,Air Tightness,1000,2000
House,Air Tightness,1000,2000
Detached house,Air Tightness,1000,2000
Apartment,Home Energy Assessment,350,
Basement Dwelling,Home Energy Assessment,350,
Ground-floor apartment,Home Energy Assessment,350,
Maisonette,Home Energy Assessment,350,
Mid-floor apartment,Home Energy Assessment,350,
Top-floor apartment,Home Energy Assessment,350,
Mid-terrace house,Home Energy Assessment,350,
Semi-detached house,Home Energy Assessment,350,
End of terrace house,Home Energy Assessment,350,
House,Home Energy Assessment,350,
Detached house,Home Energy Assessment,350,
Apartment,Project Management,800,
Basement Dwelling,Project Management,800,
Ground-floor apartment,Project Management,800,
Maisonette,Project Management,800,
Mid-floor apartment,Project Management,800,
Top-floor apartment,Project Management,800,
Mid-terrace house,Project Management,1200,
Semi-detached house,Project Management,1600,
End of terrace house,Project Management,1600,
House,Project Management,2000,
Detached house,Project Management,2000,
